id,neighbourhood,room_type,availability_365,log_price,log_minimum_nights,log_number_of_reviews,log_reviews_per_month
278823,De Baarsjes - Oud-West,Private room,8,4.553876892,1.098612289,4.955827058,0.463734016
282269,Zuid,Entire home/apt,0,4.744932128,2.302585093,1.098612289,-3.218875825
283170,Zuid,Entire home/apt,332,6.476972363,0.693147181,4.605170186,0.148420005
283621,Centrum-West,Entire home/apt,191,4.65396035,1.945910149,3.610917913,-0.867500568
284319,Centrum-Oost,Private room,275,4.744932128,0.693147181,2.772588722,-1.714798428
286500,Centrum-West,Private room,232,5.010635294,1.098612289,5.556828062,1.075002423
288967,De Baarsjes - Oud-West,Private room,164,3.401197382,0.693147181,6.00635316,1.568615918
289071,Centrum-West,Private room,26,4.49980967,1.098612289,5.278114659,0.78845736
290701,Centrum-West,Private room,265,5.010635294,1.098612289,5.697093487,1.223775432
291637,Watergraafsmeer,Private room,0,4.553876892,0.693147181,2.079441542,-2.407945609
291752,Oud-Oost,Private room,310,4.59511985,1.098612289,5.252273428,0.760805829
293337,Oud-Noord,Private room,296,4.65396035,1.386294361,3.17805383,-1.272965676
293514,Oud-Noord,Entire home/apt,0,4.304065093,0,1.609437912,-2.302585093
294468,Centrum-Oost,Entire home/apt,0,5.164785974,1.098612289,2.63905733,-1.171182982
297220,De Pijp - Rivierenbuurt,Entire home/apt,125,4.762173935,1.791759469,4.418840608,-0.072570693
300067,Oud-Oost,Private room,0,3.80666249,1.386294361,2.197224577,-2.302585093
301220,Centrum-West,Entire home/apt,0,4.828313737,1.098612289,4.418840608,-0.061875404
302426,Centrum-West,Entire home/apt,0,4.836281907,1.609437912,2.63905733,-1.832581464
304082,Centrum-West,Entire home/apt,0,4.941642423,1.098612289,3.988984047,-0.478035801
304189,Centrum-West,Entire home/apt,125,5.105945474,1.609437912,4.394449155,-0.083381609
305200,Centrum-West,Entire home/apt,124,6.309918278,0.693147181,1.098612289,-2.407945609
305809,Westerpark,Entire home/apt,333,5.616771098,0,4.844187086,0.392042088
306852,Centrum-Oost,Entire home/apt,43,5.272999559,1.098612289,2.397895273,-1.966112856
307470,Centrum-Oost,Entire home/apt,97,4.86753445,3.044522438,1.791759469,-2.659260037
307497,Westerpark,Entire home/apt,81,6.139884552,0.693147181,4.521788577,0.131028262
308028,Centrum-Oost,Private room,0,4.49980967,1.098612289,3.526360525,-0.597837001
309436,Oud-Noord,Private room,334,4.905274778,0.693147181,4.110873864,-0.198450939
310722,De Baarsjes - Oud-West,Entire home/apt,0,5.129898715,0.693147181,3.33220451,-0.994252273
311124,Centrum-West,Entire home/apt,312,5.416100402,1.098612289,4.317488114,-0.127833372
311584,De Baarsjes - Oud-West,Entire home/apt,0,4.605170186,1.098612289,4.094344562,-0.198450939
311694,Centrum-Oost,Private room,302,4.744932128,0.693147181,2.197224577,-1.714798428
313778,Oostelijk Havengebied - Indische Buurt,Entire home/apt,102,4.820281566,1.098612289,3.891820298,-0.478035801
314082,De Baarsjes - Oud-West,Entire home/apt,3,4.709530201,0.693147181,3.737669618,-0.713349888
314235,De Pijp - Rivierenbuurt,Entire home/apt,0,5.010635294,1.098612289,2.302585093,-2.120263536
315820,Oud-Oost,Entire home/apt,174,4.672828834,1.386294361,3.850147602,-0.597837001
319985,De Pijp - Rivierenbuurt,Entire home/apt,192,5.420534999,0.693147181,5.497168225,1.050821625
320689,Zuid,Entire home/apt,0,4.477336814,0,3.465735903,-0.994252273
331946,De Baarsjes - Oud-West,Entire home/apt,23,5.616771098,0.693147181,3.218875825,-0.994252273
335024,Westerpark,Entire home/apt,0,5.010635294,1.945910149,4.584967479,0.131028262
340994,Centrum-Oost,Entire home/apt,24,4.941642423,1.609437912,3.555348061,-0.891598119
342540,Watergraafsmeer,Private room,270,4.276666119,0.693147181,5.513428746,1.05431203
343094,Oud-Oost,Private room,227,4.564348191,1.098612289,5.789960171,1.342864803
345397,De Pijp - Rivierenbuurt,Entire home/apt,0,5.129898715,0.693147181,3.663561646,-0.798507696
349208,Oud-Oost,Private room,226,4.317488114,0,4.521788577,0.113328685
350271,IJburg - Zeeburgereiland,Entire home/apt,358,5.978885765,1.945910149,1.098612289,-2.659260037
352886,Westerpark,Entire home/apt,13,5.293304825,0.693147181,4.043051268,-0.186329578
356220,Centrum-Oost,Private room,14,4.941642423,0.693147181,5.135798437,0.672944473
356424,Westerpark,Entire home/apt,0,4.605170186,1.609437912,2.772588722,-1.660731207
357980,De Baarsjes - Oud-West,Entire home/apt,35,5.501258211,0.693147181,4.317488114,-0.139262067
359298,Centrum-Oost,Entire home/apt,0,5.010635294,1.386294361,4.672828834,0.21511138
359408,Centrum-West,Entire home/apt,0,4.59511985,1.386294361,4.219507705,-0.210721031
361342,Centrum-West,Entire home/apt,63,5.700443573,1.945910149,4.574710979,0.122217633
362458,Centrum-Oost,Entire home/apt,3,4.382026635,1.098612289,3.891820298,-0.46203546
363678,Centrum-West,Entire home/apt,126,5.129898715,0.693147181,3.091042453,-1.347073648
364728,Centrum-Oost,Entire home/apt,154,4.859812404,0.693147181,5.099866428,0.647103242
366438,Centrum-Oost,Private room,18,5.135798437,0.693147181,6.003887067,1.547562509
367107,Centrum-Oost,Entire home/apt,33,5.703782475,1.098612289,2.302585093,-1.514127733
367491,De Baarsjes - Oud-West,Entire home/apt,63,5.105945474,1.098612289,4.110873864,-0.356674944
370870,Centrum-Oost,Entire home/apt,0,4.605170186,1.609437912,3.761200116,-0.693147181
378523,Centrum-Oost,Entire home/apt,0,5.616771098,1.386294361,4.564348191,0.165514438
379143,De Pijp - Rivierenbuurt,Private room,42,4.700480366,1.098612289,4.634728988,1.406096988
379885,Oud-Oost,Private room,296,5.293304825,1.098612289,3.891820298,-0.544727175
384909,Centrum-West,Entire home/apt,0,5.293304825,0.693147181,4.663439094,0.207014169
386479,Centrum-West,Private room,0,4.770684624,0.693147181,4.852030264,0.418710335
387644,Westerpark,Entire home/apt,0,5.703782475,0.693147181,3.931825633,-0.494296322
390894,Centrum-West,Entire home/apt,0,5.416100402,0,3.555348061,-0.867500568
392003,Centrum-West,Private room,40,4.094344562,0.693147181,5.241747015,0.810930216
400325,Centrum-Oost,Entire home/apt,0,4.941642423,0.693147181,3.970291914,-0.478035801
402353,Watergraafsmeer,Entire home/apt,218,4.86753445,0.693147181,4.941642423,0.524728529
404740,De Baarsjes - Oud-West,Entire home/apt,235,5.857933154,0.693147181,0.693147181,-3.506557897
406794,Oud-Oost,Entire home/apt,0,5.010635294,0.693147181,2.079441542,-1.609437912
408794,De Baarsjes - Oud-West,Entire home/apt,156,4.859812404,1.098612289,3.135494216,-1.237874356
409893,Centrum-Oost,Entire home/apt,218,5.075173815,1.791759469,4.605170186,0.165514438
410998,De Baarsjes - Oud-West,Entire home/apt,0,4.787491743,0.693147181,1.791759469,-2.302585093
